Frame,Timestamp (s),Attention Score,Faces Detected
396,792,83,1
397,794,83,1
398,796,83,1
399,798,83,1
400,800,84,1
401,802,84,1
402,804,84,1
403,806,85,1
404,808,85,1
405,810,85,1
406,812,85,1
407,814,85,1
408,816,85,1
409,818,84,1
410,820,84,1
411,822,84,1
412,824,83,1
413,826,83,1
414,828,82,1
415,830,82,1
416,832,81,1
417,834,81,1
418,836,81,1
419,838,80,1
420,840,80,1
421,842,80,1
422,844,80,1
423,846,80,1
424,848,81,1
425,850,81,1
426,852,81,1
427,854,82,1
428,856,82,1
429,858,82,1
